order_item_id,order_id,product_id,quantity,unit_price,discount_rate
1,1,3,2,30.29,0.06
2,1,36,1,16.58,0
3,2,37,2,9.43,0
4,2,20,1,31.1,0.11
5,2,12,2,25.09,0.06
6,3,44,4,6.95,0.01
7,3,17,2,40.85,0
8,3,28,4,25.33,0
9,4,22,1,14.78,0.06
10,5,5,1,256.27,0.06
11,5,41,1,8.07,0.01
12,6,13,2,29.14,0.07
13,7,42,2,11.94,0
14,7,23,1,23.98,0.14
15,8,26,4,40.12,0.09
16,8,9,5,62.5,0.04
17,8,8,4,46.96,0.09
18,8,20,2,29.83,0.09
19,9,10,2,89.5,0.09
20,9,17,3,41.29,0.03
21,9,41,2,8.34,0
22,9,24,3,34.92,0.09
23,10,47,2,13.05,0.1
24,11,12,1,23.98,0
25,11,41,1,7.81,0.06
26,11,49,3,60.75,0.06
27,12,19,2,12.41,0.08
28,12,35,2,32.67,0
29,13,49,3,62.48,0.02
30,13,20,1,28.5,0.07
31,13,11,2,15.42,0.05
32,14,46,3,17.5,0.06
33,14,27,1,20.26,0
34,14,15,1,23.96,0.05
35,15,31,2,45.93,0.03
36,15,38,3,9.97,0.02
37,16,44,1,6.91,0
38,16,38,2,10.25,0.04
39,16,15,5,24.1,0.08
40,16,49,3,58.9,0.05
41,17,11,1,15.57,0.06
42,17,12,2,24.2,0.03
43,18,38,2,10.41,0.05
44,18,5,1,244.23,0.06
45,19,27,1,19.67,0
46,20,47,2,12.67,0.05
47,20,15,1,22.13,0
48,20,48,1,7.71,0.05
49,20,31,1,45.66,0.07
50,21,40,5,14.32,0
51,21,39,1,13.59,0.01
52,21,30,3,19.06,0.02
53,22,23,4,22.88,0.06
54,22,2,2,7.81,0
55,22,1,1,50.33,0.06
56,22,43,2,24.03,0.05
57,23,16,2,19.05,0.05
58,23,32,5,14.43,0.08
59,24,46,2,18.35,0
60,24,47,1,13.55,0
61,25,39,4,13.15,0
62,25,46,1,18.79,0
63,25,31,4,46.22,0.08
64,25,8,1,43.76,0
65,26,7,1,83.49,0
66,27,47,1,12.43,0
67,27,36,4,16.25,0.04
68,27,13,1,29.4,0.03
69,27,35,1,31.77,0.08
70,28,43,3,23.81,0
71,29,31,1,42.82,0
72,29,47,1,13.28,0.02
73,29,33,1,56.25,0.08
74,29,39,4,12.39,0
75,30,26,5,38.95,0.09
76,30,24,1,36.01,0.08
77,30,12,1,24.6,0
78,30,44,5,6.95,0
79,31,36,2,16.27,0.05
80,31,1,2,49.05,0.07
81,31,38,1,9.69,0.02
82,31,3,4,30.01,0.07
83,32,1,5,50.95,0
84,33,39,3,12.81,0
85,33,13,2,29.1,0.04
86,33,14,3,18.38,0
87,34,30,1,19.05,0.06
88,35,34,1,36.28,0.08
89,36,45,1,5.76,0.03
90,37,43,1,24.09,0.03
91,38,45,1,5.84,0.03
92,39,34,2,36.5,0.06
93,40,50,2,146.03,0.06
94,40,8,1,45.21,0.05
95,41,9,5,61.86,0.08
96,41,11,1,15.6,0.06
97,41,20,1,29.73,0.1
98,41,50,2,139.6,0.05
99,42,35,6,33.54,0
100,42,46,1,18.54,0.08
101,42,8,3,46.98,0
102,42,29,2,51.08,0
103,42,23,3,22.91,0.09
104,42,43,4,25.66,0.05
105,43,21,1,46.25,0.13
106,44,32,1,14.36,0.06
107,44,18,3,25.22,0
108,44,48,2,8.24,0.05
109,44,24,5,36.02,0
110,45,25,2,52.04,0
111,45,24,2,34.27,0.07
112,46,50,2,137.03,0.02
113,47,23,3,22.7,0
114,48,46,2,17.13,0.05
115,49,11,2,14.34,0.02
116,49,35,1,32.52,0
117,49,7,1,80.26,0
118,49,26,1,40.06,0.11
119,50,42,1,12.54,0
120,50,19,1,13.27,0
121,50,15,1,22.18,0
122,50,17,2,38.97,0.05
123,51,8,4,44.21,0
124,51,1,2,48.69,0.09
125,51,5,2,246.62,0
126,51,37,2,8.98,0.05
127,52,42,1,11.63,0.04
128,52,24,1,35.49,0.09
129,52,20,1,31.16,0.09
130,52,31,3,47.2,0.07
131,53,12,1,26.08,0.04
132,53,14,2,18.91,0.07
133,54,45,1,6.24,0
134,54,27,2,20.57,0.09
135,54,1,4,47.86,0.1
136,55,35,2,34.06,0.06
137,55,13,5,31.11,0
