order_id,order_date,customer_id,payment_method,sales_channel,order_status
1,2025-01-04,118,Bank Transfer,Online,Completed
2,2025-01-12,114,Credit Card,Online,Completed
3,2025-01-22,10,Cash,Store,Completed
4,2025-01-07,135,Credit Card,Store,Completed
5,2025-01-05,73,Bank Transfer,Store,Completed
6,2025-01-06,53,PayPal,Online,Completed
7,2025-01-23,77,PayPal,Online,Completed
8,2025-01-12,7,Credit Card,Marketplace,Completed
9,2025-01-23,119,Bank Transfer,Online,Completed
10,2025-01-19,21,Credit Card,Store,Completed
11,2025-01-14,93,Credit Card,Store,Completed
12,2025-01-07,78,Bank Transfer,Online,Cancelled
13,2025-01-13,108,Credit Card,Marketplace,Completed
14,2025-01-09,79,PayPal,Online,Cancelled
15,2025-01-07,32,PayPal,Online,Completed
16,2025-01-10,58,PayPal,Store,Completed
17,2025-01-22,124,Cash,Online,Completed
18,2025-01-22,150,PayPal,Marketplace,Completed
19,2025-01-06,11,Bank Transfer,Online,Completed
20,2025-01-05,88,Credit Card,Online,Completed
21,2025-01-09,38,Cash,Online,Completed
22,2025-01-14,105,Bank Transfer,Online,Cancelled
23,2025-01-23,144,PayPal,Online,Completed
24,2025-01-02,38,PayPal,Marketplace,Completed
25,2025-01-04,67,Credit Card,Store,Completed
26,2025-01-27,90,PayPal,Marketplace,Completed
27,2025-01-24,13,PayPal,Online,Completed
28,2025-01-20,142,Credit Card,Online,Completed
29,2025-01-14,80,Credit Card,Store,Completed
30,2025-01-23,25,Credit Card,Store,Completed
31,2025-01-24,42,PayPal,Online,Completed
32,2025-01-04,43,Bank Transfer,Online,Completed
33,2025-01-09,69,Cash,Marketplace,Completed
34,2025-01-22,89,Credit Card,Store,Completed
35,2025-01-18,114,Credit Card,Marketplace,Completed
36,2025-01-07,6,PayPal,Online,Cancelled
37,2025-01-09,38,Credit Card,Online,Completed
38,2025-01-01,89,PayPal,Marketplace,Completed
39,2025-01-19,31,Credit Card,Online,Completed
40,2025-01-26,96,Credit Card,Online,Completed
41,2025-01-01,85,Credit Card,Store,Completed
42,2025-01-07,146,Cash,Marketplace,Completed
43,2025-01-22,30,Credit Card,Store,Completed
44,2025-01-18,96,Credit Card,Marketplace,Completed
45,2025-01-23,126,Credit Card,Online,Completed
46,2025-01-09,51,Credit Card,Online,Completed
47,2025-01-24,138,Credit Card,Online,Completed
48,2025-01-04,66,Credit Card,Store,Completed
49,2025-01-13,98,PayPal,Online,Completed
50,2025-01-09,113,Credit Card,Online,Completed
51,2025-01-19,29,Credit Card,Online,Completed
52,2025-01-02,123,PayPal,Online,Completed
53,2025-02-25,7,Credit Card,Online,Refunded
54,2025-02-23,27,Bank Transfer,Online,Completed
55,2025-02-20,48,Credit Card,Online,Completed
56,2025-02-19,68,Credit Card,Online,Completed
57,2025-02-27,131,Credit Card,Marketplace,Refunded
58,2025-02-17,35,PayPal,Store,Completed
59,2025-02-25,100,PayPal,Marketplace,Completed
60,2025-02-20,27,Credit Card,Marketplace,Completed
61,2025-02-15,136,Credit Card,Online,Completed
62,2025-02-02,1,Credit Card,Online,Completed
63,2025-02-03,83,PayPal,Marketplace,Completed
64,2025-02-22,97,Credit Card,Online,Completed
65,2025-02-14,78,Credit Card,Online,Completed
66,2025-02-10,95,Credit Card,Store,Completed
67,2025-02-15,126,Credit Card,Store,Completed
68,2025-02-12,55,PayPal,Online,Completed
69,2025-02-19,142,Bank Transfer,Store,Completed
70,2025-02-11,107,PayPal,Online,Completed
